year,brand,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
2014,1,3,2250000.0,50000.0,1,13,4,7.0
2016,27,165,4500000.0,61352.0,3,13,40,5.0
2020,16,83,1800000.0,17500.0,3,13,81,1.0
2018,10,64,5550000.0,20518.0,1,13,40,3.0
2014,7,18,465000.00000000006,98000.0,1,13,7,7.0
2016,22,106,1550000.0,104248.0,1,13,46,5.0
2013,27,123,575000.0,75000.0,1,13,40,8.0
2012,21,51,1275000.0,72000.0,1,13,2,9.0
2014,28,43,675000.0,99350.0,3,13,1,7.0
2015,22,106,1275000.0,99400.0,1,13,46,6.0
2010,22,105,595000.0,91000.0,3,13,46,11.0
2012,29,107,675000.0,102000.0,1,13,3,9.0
2014,29,108,475000.0,75000.0,1,13,3,7.0
2019,16,83,1825000.0,32000.0,3,13,81,2.0
2014,0,112,2100000.0,71000.0,1,13,10,7.0
2012,10,157,2675000.0,71000.0,3,13,40,9.0
2013,29,46,470000.0,71000.0,1,13,3,8.0
2006,1,151,680000.0,100004.0,3,13,4,15.0
2013,0,10,1380000.0,48000.0,1,13,10,8.0
2014,29,108,528000.0,82000.0,3,13,3,7.0
2013,0,112,2000000.0,67000.0,1,13,10,8.0
2009,21,97,1220000.0,98000.0,3,13,2,12.0
2016,0,11,2450000.0,89000.0,1,13,10,5.0
2014,10,156,1675000.0,99800.0,1,13,40,7.0
2016,14,63,3600000.0,91000.0,1,13,18,5.0
2011,21,29,975000.0,55000.0,1,13,2,10.0
2011,26,163,575000.0,102000.0,1,13,27,10.0
2016,20,118,750000.0,72000.0,1,13,32,5.0
2014,21,51,1950000.0,99000.0,1,13,2,7.0
2017,20,60,850000.0,57218.0,1,13,32,4.0
2018,27,103,910000.0,30000.0,1,13,40,3.0
2018,8,45,1275000.0,55600.0,1,13,14,3.0
2014,20,60,690000.0,77000.0,1,13,32,7.0
2019,20,145,875000.0,61000.0,1,13,32,2.0
2017,20,60,825000.0,95000.0,0,13,32,4.0
2020,25,92,470000.0,13994.0,4,13,15,1.0
2016,20,118,750000.0,72000.0,1,13,32,5.0
2018,8,45,1275000.0,55600.0,1,13,14,3.0
2018,27,103,910000.0,30000.0,1,13,40,3.0
2014,20,60,690000.0,77000.0,1,13,32,7.0
2017,20,60,850000.0,57218.0,1,13,32,4.0
2015,8,81,450000.0,79461.0,3,13,14,6.0
2018,25,49,695000.0,67000.0,1,13,15,3.0
2014,7,28,350000.0,76200.0,3,13,7,7.0
2015,0,111,2100000.0,115000.0,1,13,10,6.0
2012,8,167,335000.0,76000.0,3,13,14,9.0
2010,29,108,295000.0,41000.0,3,13,3,11.0
2013,8,166,340000.0,508881.0,3,13,14,8.0
2017,20,15,390000.0,28696.0,3,13,32,4.0
2017,6,53,675000.0,107079.0,1,13,8,4.0
2013,20,15,280000.0,40409.0,3,13,32,8.0
2013,7,28,295000.0,58203.0,3,13,7,8.0
2018,20,25,640000.0,56948.0,3,13,32,3.0
2016,18,160,1200000.0,145368.0,1,13,24,5.0
2013,29,108,400000.0,110369.0,1,13,3,8.0
2009,20,147,235000.0,17014.0,3,13,32,12.0
2015,20,36,400000.0,59509.0,3,13,32,6.0
2016,20,36,450000.0,31600.0,3,13,32,5.0
2018,20,15,440000.00000000006,6800.0,3,13,32,3.0
2014,6,53,550000.0,32800.0,3,13,8,7.0
2013,21,51,1698999.9999999998,67000.0,1,13,2,8.0
2013,0,110,1375000.0,79000.0,1,13,10,8.0
2015,0,110,1675000.0,100000.0,1,13,10,6.0
2012,20,15,225000.0,89000.0,0,13,32,9.0
2008,1,149,599000.0,170306.0,3,13,4,13.0
2015,8,59,300000.0,11500.0,3,13,14,6.0
2019,28,69,3800000.0,13500.0,1,13,1,2.0
2007,8,124,110000.0,87000.0,3,13,14,14.0
2015,29,108,525000.0,40119.0,3,13,3,6.0
2017,26,115,675000.0,108500.0,1,13,27,4.0
2010,7,38,400000.0,118000.0,3,13,7,11.0
2011,6,67,285000.0,70738.0,1,13,8,10.0
2009,7,32,481000.0,117136.0,3,13,7,12.0
2017,0,112,5500000.0,55000.0,1,13,10,4.0
2016,8,167,598000.0,42000.0,3,13,14,5.0
2014,21,117,4600000.0,47000.0,1,13,2,7.0
2014,7,38,650000.0,124000.0,1,13,7,7.0
2015,8,161,425000.0,81911.0,3,13,14,6.0
2015,20,15,310000.0,34308.0,0,13,32,6.0
2014,20,36,445000.0,56030.0,0,13,32,7.0
2013,20,131,440000.00000000006,89869.0,3,13,32,8.0
2014,3,26,210000.0,74873.0,3,13,12,7.0
2018,27,103,725000.0,82169.0,1,13,40,3.0
2011,8,166,275000.0,62000.0,3,13,14,10.0
2016,21,51,2900000.0,44500.0,1,13,2,5.0
2013,0,10,1700000.0,45477.0,1,13,10,8.0
2013,8,144,530000.0,45588.0,3,13,14,8.0
2013,20,15,275000.0,56498.0,3,13,32,8.0
2012,7,28,275000.0,39877.0,3,13,7,9.0
2018,20,85,450000.0,29628.0,3,13,32,3.0
2011,18,160,520000.0,75000.0,1,13,24,10.0
2012,3,47,405000.0,87387.0,1,13,12,9.0
2015,21,51,2740000.0,63000.0,1,13,2,6.0
2018,20,50,750000.0,83074.0,1,13,32,3.0
2018,18,91,450000.0,60484.0,3,13,24,3.0
2013,1,0,1425000.0,74000.0,1,13,4,8.0
2018,8,166,575000.0,12000.0,3,13,14,3.0
2012,26,115,400000.0,58000.0,1,13,27,9.0
2013,0,11,1650000.0,67000.0,1,13,10,8.0
2017,8,81,490000.00000000006,38500.0,3,13,14,4.0
2018,8,144,1150000.0,66563.0,1,13,14,3.0
2019,17,42,5300000.0,700.0,3,13,39,2.0
2017,20,60,925000.0,39000.0,1,13,32,4.0
2010,28,69,1075000.0,141000.0,1,13,1,11.0
2015,28,87,1000000.0,142502.0,1,13,1,6.0
2019,27,82,1650000.0,49997.0,1,13,40,2.0
2019,20,131,675000.0,11233.0,3,13,32,2.0
2018,20,50,850000.0,77000.0,1,13,32,3.0
2019,17,42,5300000.0,700.0,3,13,39,2.0
2018,8,144,1150000.0,66563.0,1,13,14,3.0
2013,0,11,1650000.0,67000.0,1,13,10,8.0
2012,26,115,400000.0,58000.0,1,13,27,9.0
2017,8,81,490000.00000000006,38500.0,3,13,14,4.0
2016,28,87,1150000.0,132000.0,1,13,1,5.0
2017,20,60,925000.0,39000.0,1,13,32,4.0
2019,29,141,1250000.0,12000.0,1,13,3,2.0
2015,7,88,620000.0,65000.0,1,13,7,6.0
2010,7,38,330000.0,72000.0,3,13,7,11.0
2015,1,149,2400000.0,85200.0,1,13,4,6.0
2015,20,131,510000.0,30000.0,3,13,32,6.0
2016,1,151,3800000.0,53000.0,1,13,4,5.0
2016,20,15,345000.0,37000.0,3,13,32,5.0
2020,1,5,11500000.0,9000.0,1,13,4,1.0
2011,18,160,520000.0,75000.0,1,13,24,10.0
2012,3,47,405000.0,87387.0,1,13,12,9.0
2018,28,87,1650000.0,103357.0,1,13,1,3.0
2021,29,108,1015000.0,11000.0,3,13,3,0.0
2015,28,33,1651000.0000000002,81000.0,3,13,1,6.0
2018,0,110,2750000.0,33000.0,1,13,10,3.0
2015,28,33,1651000.0000000002,81000.0,3,13,1,6.0
2017,30,120,3800000.0,50000.0,1,13,9,4.0
2013,27,102,140000.0,10000.0,3,13,40,8.0
2011,27,102,95000.0,48405.0,3,13,40,10.0
2009,20,147,250000.0,52080.0,3,13,32,12.0
2018,20,145,915000.0,62665.0,1,13,32,3.0
2017,27,84,1330000.0,49558.0,1,13,40,4.0
2009,20,15,185000.0,31632.0,3,13,32,12.0
2013,20,15,260000.0,61923.0,3,13,32,8.0
2016,8,81,520000.0,49899.0,3,13,14,5.0
2014,20,36,385000.0,49606.0,3,13,32,7.0
2014,29,90,680000.0,57770.0,1,13,3,7.0
2007,21,117,1290000.0,68500.0,1,13,2,14.0
2016,8,45,1050000.0,75106.0,1,13,14,5.0
2018,10,64,4350000.0,55200.0,1,13,40,3.0
2015,17,44,2300000.0,40614.0,1,13,39,6.0
2019,20,131,710000.0,12500.0,3,13,32,2.0
2015,6,53,700000.0,51985.0,3,13,8,6.0
2019,20,60,950000.0,60878.0,4,13,32,2.0
2011,29,141,320000.0,63000.0,3,13,3,10.0
2014,29,108,400000.0,67500.0,3,13,3,7.0
2016,7,38,635000.0,51000.0,3,13,7,5.0
2016,28,62,525000.0,102000.0,1,13,1,5.0
2019,8,56,750000.0,53347.0,3,13,14,2.0
2019,20,60,950000.0,60878.0,4,13,32,2.0
2007,21,117,1290000.0,68500.0,1,13,2,14.0
2018,8,45,1475000.0,42000.0,1,13,14,3.0
2018,10,64,4350000.0,55200.0,1,13,40,3.0
2019,20,131,710000.0,12500.0,3,13,32,2.0
2018,6,57,3000000.0,27000.0,1,13,8,3.0
2016,20,37,640000.0,28000.0,3,13,32,5.0
2018,8,59,360000.0,33000.0,3,13,14,3.0
2010,20,15,165000.0,38000.0,3,13,32,11.0
2017,8,45,999000.0,49000.0,1,13,14,4.0
2014,7,38,565000.0,24010.0,3,13,7,7.0
2020,8,45,1725000.0,13000.0,1,13,14,1.0
2014,18,160,775000.0,90000.0,1,13,24,7.0
2009,20,147,180000.0,55000.0,3,13,32,12.0
2012,28,62,355000.0,55000.0,1,13,1,9.0
2012,20,60,575000.0,56011.0,1,13,32,9.0
2017,7,38,960000.0,49000.0,3,13,7,4.0
2021,6,53,950000.0,3681.0,1,13,8,0.0
2015,8,59,290000.0,38000.0,3,13,14,6.0
2011,2,41,7500000.0,36000.0,3,13,44,10.0
2008,19,96,185000.0,142522.0,1,13,24,13.0
1990,18,89,325000.0,18581.0,1,13,24,31.0
2017,8,45,1395000.0,31028.0,1,13,14,4.0
